Sample.code,Latitude,Longitude,Region,Season.planted,Grain.As,Grain.P,Grain.S,Grain.Mn,Grain.Fe,Grain.Cu,Straw.As,Straw.Al,Straw.P,Straw.S,Straw.Mn,Straw.Fe,Soil.As,Soil.Al,Soil.P,Soil.S,Soil.Mn,Soil.Fe,Soil.pH,Soil.Clay,Soil.SOM,Temperature,Rainfall,Humidity,Potential.Evaporation
23Vin103_#1,19.6664,105.7903,North,Winter-Spring season,0.12,3420.68,840.99,30.12,,1.74,0.92,100.95,1068.3,1362.36,882.25,133.56,2.93,23257.17,745.39,879.51,77.97,10036.14,4.19,5.96,4.49,23.84,4.58,77.82,7.87
23Vin104_#1,19.6444,105.8044,North,Winter-Spring season,0.11,2863.25,946.53,31.82,0.1,3.64,1.06,238.3,630.36,1361.85,1854.17,377.82,9.51,94983.66,431.55,1349.48,143.37,34113.97,4.5,31.04,3.71,23.84,4.58,77.82,7.87
23Vin105_#1,19.7267,105.8631,North,Winter-Spring season,0.16,4388.7,1080.04,11.52,0.63,0.95,6.86,299.7,1543.19,1809.95,188.17,439.44,9.56,53749.05,409.55,1594.73,196.57,31809.23,4.86,10.96,5.46,23.83,4.36,78.3,6.75
23Vin106_#1,19.8667,105.8436,North,Winter-Spring season,0.17,3800.28,955.03,20.45,3.17,1.46,3.49,308.48,1490.64,1403.79,540.68,374.51,8.67,112546.02,323.9,1142.91,188.7,35914.52,5.31,24.15,3.31,23.9,4.15,79.09,5.42
23Vin107_#1,19.9336,105.9181,North,Winter-Spring season,0.16,4025.11,1058.67,14.89,1.1,0.55,1.68,224.22,1623.82,1000.06,236.24,215.47,4.57,36033.03,411.6,1498.45,102.54,9822.21,4.94,14.0,3.9,24.15,4.12,79.23,4.55
23Vin108_#1,20.0272,105.9953,North,Winter-Spring season,0.13,4470.25,1102.86,31.51,10.92,3.67,1.23,174.9,1572.19,1889.91,1264.99,378.99,3.76,27900.77,343.8,1225.54,148.87,13809.7,4.33,9.72,3.51,24.1,4.23,79.28,4.37
23Vin109_#1,20.1333,106.0997,North,Winter-Spring season,0.3,4091.0,1014.56,19.3,,1.69,2.64,486.67,1222.21,1612.51,951.67,1015.77,17.38,132215.73,634.44,1294.39,573.63,49299.46,4.85,31.82,5.46,24.08,4.24,79.51,4.83
23Vin110_#1,20.685,106.5497,North,Summer-Autumn season,0.1,3561.14,905.8,17.89,1.11,2.25,4.01,825.76,1438.33,1419.99,573.42,1107.13,15.46,103359.67,1114.28,1730.89,123.38,43142.87,4.44,31.98,5.85,23.85,4.74,84.15,4.21
23Vin111_#1,20.6214,106.5461,North,Summer-Autumn season,0.32,3756.55,1262.86,14.51,4.16,0.47,6.0,613.95,1273.27,1432.89,557.93,563.07,16.24,95593.06,465.09,1812.26,272.33,38374.98,4.78,27.09,4.29,23.85,4.74,84.15,4.21
23Vin112_#1,20.5283,106.4947,North,Summer-Autumn season,0.28,3827.34,1128.31,23.08,1.61,1.99,4.67,870.5,1593.95,1553.33,668.54,695.36,6.99,33824.54,1041.66,720.37,137.35,15022.05,4.01,9.6,5.07,23.72,4.53,84.42,4.48
23Vin113_#1,20.4528,106.3861,North,Summer-Autumn season,0.16,3878.83,1139.78,28.8,2.25,2.49,3.32,537.43,1592.23,1097.3,484.79,581.81,12.83,83411.78,467.49,1081.07,306.05,34915.63,4.25,20.28,5.46,23.86,4.34,84.22,4.7
23Vin114_#1,20.4081,106.4356,North,Summer-Autumn season,0.2,3692.01,1190.45,17.0,76.01,2.21,3.05,891.97,1456.48,1351.87,766.31,1061.63,17.34,118213.15,675.16,1644.61,222.59,43996.56,4.28,32.48,8.19,23.86,4.34,84.22,4.7
23Vin115_#1,20.4358,106.4183,North,Summer-Autumn season,0.22,3880.57,1281.82,21.78,6.23,1.4,2.8,1051.87,1343.09,1336.6,497.46,1198.31,14.53,81945.29,499.17,1153.63,362.33,39885.06,4.59,26.64,7.02,23.86,4.34,84.22,4.7
23Vin116_#1,20.4214,106.4736,North,Summer-Autumn season,0.15,3427.99,1018.23,20.83,6.13,0.48,1.76,232.45,955.36,1571.15,1042.26,452.83,14.98,101112.99,368.18,1329.15,394.56,42641.35,4.53,21.93,6.44,23.86,4.34,84.22,4.7
23Vin117_#1,20.3586,106.5447,North,Summer-Autumn season,0.22,3866.96,946.59,24.71,1.74,0.82,3.05,340.48,1468.33,1262.23,360.1,492.6,17.17,114641.97,473.53,1093.21,390.54,45001.86,5.24,43.87,7.22,24.15,4.24,83.55,5.27
23Vin118_#1,20.2986,106.4794,North,Summer-Autumn season,0.23,3883.55,1471.14,32.64,67.61,0.73,5.71,964.67,1366.34,1735.28,283.25,866.29,26.2,93448.33,524.56,969.04,366.09,41984.55,4.9,20.21,7.41,24.01,4.24,84.29,4.76
23Vin119_#1,20.3708,106.4486,North,Summer-Autumn season,0.19,3762.11,1059.45,16.61,10.17,0.58,2.09,137.01,1260.98,1248.13,471.18,154.28,11.98,69640.12,414.31,1302.71,250.26,33948.62,4.3,19.21,7.61,24.15,4.24,83.55,5.27
23Vin120_#1,20.3528,106.3297,North,Summer-Autumn season,0.15,3835.33,1367.58,26.94,9.9,1.62,6.7,624.88,1996.14,1045.86,1020.01,470.55,15.94,104954.87,275.19,934.19,344.18,41906.55,4.88,25.27,7.02,24.15,4.24,83.55,5.27
23Vin121_#1,20.2375,106.3342,North,Summer-Autumn season,0.25,3896.44,1034.46,27.46,13.51,0.48,6.58,391.69,1928.2,1124.87,276.74,498.21,14.18,102751.01,645.87,976.13,347.22,41796.74,4.14,23.55,7.41,24.01,4.24,84.29,4.76
23Vin122_#1,20.1839,106.1744,North,Summer-Autumn season,0.31,3570.93,1092.94,23.7,,1.09,6.2,1155.94,1652.77,1475.97,750.96,893.69,16.06,107841.37,377.44,817.16,428.17,42009.3,4.74,33.78,7.02,24.08,4.24,84.25,4.83
23Vin141_#1,21.2482,105.8028,North,Winter-Spring season,0.13,2030.89,1052.23,20.91,,4.72,0.49,155.82,539.73,1541.9,1783.01,220.23,2.78,21998.45,227.49,540.43,86.48,7527.45,4.32,8.26,2.73,23.54,5.03,77.91,5.68
23Vin142_#1,21.266,106.0876,North,Winter-Spring season,0.19,3377.14,893.15,18.59,,2.49,2.56,132.08,1434.41,1541.91,667.88,208.6,2.02,17080.16,330.68,574.87,80.3,6333.25,4.53,7.8,4.88,23.54,5.03,77.91,5.68
23Vin143_#1,21.3906,106.113,North,Winter-Spring season,0.18,3280.46,721.46,13.73,5.16,0.91,3.4,164.5,1963.98,1310.47,377.21,344.31,1.98,23986.73,399.52,587.65,52.81,8164.38,4.59,7.1,6.83,23.53,4.98,78.08,5.04
23Vin144_#1,21.3676,106.0328,North,Winter-Spring season,0.08,3293.32,829.26,23.81,,2.11,4.73,190.89,2119.68,1752.94,446.44,260.15,1.28,10847.49,331.83,412.24,43.81,5043.76,4.54,8.0,2.73,23.53,4.98,78.08,5.04
23Vin145_#1,21.4072,105.9808,North,Winter-Spring season,0.17,3481.17,810.01,10.74,,0.98,2.62,272.4,1951.13,1560.27,184.43,374.46,3.54,29458.46,249.93,579.27,87.08,9941.2,4.17,14.52,3.71,23.38,4.91,78.73,4.99
23Vin146_#1,21.4634,105.9449,North,Winter-Spring season,0.22,3296.34,798.55,17.86,,1.87,7.03,591.55,2203.04,1462.95,961.61,891.95,12.38,69466.29,388.72,816.89,240.11,31732.52,3.98,17.82,8.0,23.38,4.91,78.73,4.99
23Vin147_#1,21.442,106.0184,North,Winter-Spring season,0.17,3357.17,621.91,21.46,,1.25,1.49,160.03,1203.48,1363.57,650.73,256.83,1.17,17913.92,225.29,707.07,43.38,5369.43,4.9,10.2,5.46,23.38,4.91,78.73,4.99
23Vin148_#1,21.4441,106.1117,North,Winter-Spring season,0.15,3419.23,970.4,19.25,3.33,1.63,2.05,402.3,1995.45,1763.83,1150.0,1060.73,2.98,22662.41,235.26,614.22,88.66,15345.65,4.23,10.68,5.66,23.38,4.91,78.73,4.99
23Vin149_#1,21.4262,106.2183,North,Winter-Spring season,0.15,2888.31,588.04,11.95,,0.65,3.16,184.99,1931.88,1129.42,169.22,290.94,4.4,30718.03,346.63,611.36,73.64,19541.85,5.18,13.29,5.66,23.38,4.91,78.73,4.99
23Vin150_#1,21.3416,106.3348,North,Winter-Spring season,0.25,3768.89,906.55,19.57,1.8,2.86,4.55,248.18,1976.95,1479.29,722.68,578.27,2.51,15255.48,251.83,573.72,39.75,11813.46,4.65,8.7,2.93,23.53,4.98,78.08,5.04
23Vin151_#1,21.0387,107.0207,North,Winter-Spring season,0.26,3989.4,823.25,16.16,,2.05,1.92,153.03,1837.17,1684.86,570.08,200.84,2.26,23041.38,182.12,446.74,17.98,3934.64,4.09,10.2,4.88,24.23,4.72,77.16,4.17
23Vin152_#1,21.0033,106.8716,North,Winter-Spring season,0.12,2811.95,917.97,19.2,0.87,0.43,2.25,95.2,624.05,1609.32,698.2,197.55,5.66,32651.01,152.69,517.11,38.85,6609.43,4.23,12.65,6.24,24.23,4.72,77.16,4.17
23Vin153_#1,20.9723,106.8238,North,Winter-Spring season,0.29,3648.78,868.42,12.45,,1.03,1.26,196.16,1724.1,1129.11,615.14,470.91,18.64,57677.98,261.54,3786.57,85.79,27849.45,3.01,15.39,9.75,24.25,4.67,77.49,4.18
23Vin154_#1,20.9107,106.8001,North,Winter-Spring season,0.17,3448.73,802.45,19.35,9.99,2.19,1.83,269.99,1128.41,1580.45,1040.33,387.67,11.31,66478.11,301.62,693.3,129.19,31280.39,4.53,21.56,7.22,24.25,4.67,77.49,4.18
23Vin155_#1,21.1465,107.3599,North,Winter-Spring season,0.06,3061.77,610.68,22.88,6.43,1.6,0.48,132.68,1335.47,1079.11,604.61,326.75,3.21,67591.68,346.41,816.62,57.16,19190.01,3.75,22.09,9.17,23.81,4.92,77.92,5.35
23Vin156_#1,21.3145,107.3665,North,Winter-Spring season,0.23,3816.39,935.16,18.99,6.37,0.6,1.33,724.56,1212.26,1191.76,346.84,655.39,4.83,69001.83,218.57,612.7,169.31,29741.59,3.77,18.46,6.24,23.53,4.98,78.08,5.04
23Vin157_#1,21.3264,107.4893,North,Winter-Spring season,0.15,3336.63,712.23,21.71,59.72,0.67,0.91,132.93,1160.79,1030.54,412.48,733.25,2.69,28468.81,140.61,537.18,118.2,11105.9,3.9,13.6,6.83,23.53,4.98,78.08,5.04
23Vin158_#1,21.3292,107.6081,North,Winter-Spring season,0.11,3271.93,736.47,22.5,20.34,1.85,1.12,247.71,1360.09,1199.5,389.17,255.82,2.44,26572.77,328.69,771.59,110.58,6599.17,4.79,9.1,12.09,23.53,4.98,78.08,5.04
23Vin159_#1,21.4708,108.0011,North,Winter-Spring season,0.19,3589.52,1031.9,13.63,,2.25,2.77,156.13,1667.36,1477.63,198.25,370.68,5.59,25067.69,152.65,825.35,174.63,11614.93,3.43,9.8,11.39,23.38,4.91,78.73,4.99
23Vin160_#1,21.5361,107.8541,North,Winter-Spring season,0.02,3648.16,1206.28,22.37,,0.84,0.13,70.88,1806.73,2729.87,179.79,346.93,0.53,7950.61,119.92,415.59,34.93,1745.09,3.86,3.38,5.38,23.07,4.87,78.87,4.6
23Vin161_#1,21.4706,107.764,North,Winter-Spring season,0.18,3510.54,1094.67,10.11,23.48,0.34,2.69,508.0,1992.24,1468.46,77.55,538.33,2.95,26938.4,311.1,516.6,141.34,8803.64,4.16,9.74,8.5,23.38,4.91,78.73,4.99
23Vin162_#1,21.4587,107.6974,North,Winter-Spring season,0.03,3331.47,842.67,16.96,,1.27,0.36,150.32,1480.25,1357.22,206.64,486.09,2.35,23044.68,286.59,542.94,139.5,5629.19,3.91,6.62,8.42,23.38,4.91,78.73,4.99
23Vin165_#1,10.5168,107.3925,South Central,Summer-Autumn season,0.45,3177.86,1824.78,25.45,34.18,2.84,0.87,196.32,1424.75,1789.06,652.45,388.96,6.58,132117.97,448.02,758.54,607.97,59390.88,4.29,31.87,10.53,27.4,4.54,80.85,6.18
23Vin166_#1,10.4876,107.239,South Central,Summer-Autumn season,0.33,2689.45,1628.81,21.7,35.73,2.74,0.59,235.1,1007.46,1593.34,789.95,478.06,4.17,61167.2,606.78,662.57,833.01,87974.81,4.41,55.2,7.67,27.37,4.59,81.24,6.88
23Vin177_#1,12.7685,109.2903,South Central,Summer-Autumn season,0.42,3915.91,1588.95,22.52,64.41,1.02,0.54,172.9,1136.03,1935.14,664.7,566.91,1.48,21266.88,116.23,279.08,221.29,9913.78,3.7,10.65,6.37,23.71,4.58,77.36,4.96
23Vin178_#1,12.9043,109.3706,South Central,Summer-Autumn season,0.36,2872.84,1612.8,32.86,40.91,1.97,0.75,5639.46,718.54,1857.57,702.29,339.27,2.39,47702.55,144.33,484.51,156.25,9084.29,5.94,11.27,7.28,25.36,4.39,78.97,6.09
23Vin183_#1,14.3813,109.023,South Central,Summer-Autumn season,0.43,3015.92,1519.12,25.8,61.27,1.92,0.79,91.21,1976.21,1985.57,556.89,790.44,2.34,28665.05,168.53,409.83,148.16,33275.64,4.08,15.8,7.15,25.41,3.97,76.04,5.68
23Vin184_#1,14.5508,109.0491,South Central,Summer-Autumn season,0.42,3384.26,1739.67,30.27,47.21,3.67,0.93,153.83,1635.94,2287.62,585.46,551.49,5.91,113633.65,394.55,1073.99,268.34,57034.92,3.94,34.46,10.27,24.69,5.11,78.98,5.51
23Vin185_#1,14.7204,109.0344,South Central,Summer-Autumn season,0.38,3606.6,1884.06,29.19,36.64,0.66,0.81,282.96,1287.62,1971.08,710.26,760.25,2.2,39923.37,159.41,304.65,253.3,17986.99,4.76,16.03,5.98,25.3,4.97,78.45,5.51
23Vin186_#1,14.835,108.9563,South Central,Summer-Autumn season,0.41,2858.97,1495.51,21.6,45.3,2.33,0.89,168.98,1070.09,1985.73,388.8,435.89,4.02,63147.99,226.73,436.55,239.19,17088.6,4.15,14.67,8.06,25.65,4.99,76.61,5.28
24VINIF_1_#1,15.1458,108.7814,South Central,Winter-Spring season,0.32,1695.66,450.77,8.45,27.55,1.37,0.63,34.45,997.05,431.63,139.13,129.67,4.11,59630.16,260.27,154.52,301.93,25557.68,3.99,53.17,4.12,25.83,5.23,85.01,5.93
24VINIF_2_#1,14.98,108.8858,South Central,Winter-Spring season,0.29,1077.25,448.81,10.97,22.7,4.36,0.11,48.89,390.52,486.05,376.29,117.1,1.52,37316.29,147.5,123.67,298.46,19108.05,4.25,20.12,2.69,25.13,4.83,85.6,5.2
24VINIF_3_#1,14.8914,108.9422,South Central,Winter-Spring season,0.2,1750.25,430.91,6.98,23.39,5.25,0.69,24.35,1230.24,682.91,105.06,193.85,1.63,23014.33,211.44,278.51,119.16,6977.13,3.92,16.39,5.92,25.65,4.99,85.42,5.28
24VINIF_4_#1,14.8342,108.9578,South Central,Winter-Spring season,0.14,1666.59,451.82,7.64,21.33,5.3,0.12,30.81,971.6,555.04,244.7,194.62,1.81,41489.63,155.97,163.74,274.06,16706.73,3.89,14.67,3.18,25.65,4.99,85.42,5.28
24VINIF_5_#1,14.7636,109.0083,South Central,Winter-Spring season,0.26,1784.84,446.25,6.69,23.92,0.11,0.05,36.75,1261.54,670.39,116.77,131.24,0.37,12142.67,70.9,169.12,92.43,3593.79,4.1,12.28,2.49,25.3,4.97,85.72,5.51
24VINIF_6_#1,14.5503,109.0494,South Central,Winter-Spring season,0.23,1676.71,433.96,8.28,24.39,1.09,0.09,54.34,1158.31,767.32,187.47,152.48,2.7,51246.23,391.18,268.13,221.54,30763.93,4.1,34.46,4.51,24.69,5.11,86.37,5.51
24VINIF_7_#1,14.4833,109.0336,South Central,Winter-Spring season,0.19,1423.57,367.65,9.1,21.36,0.92,0.08,61.33,978.36,431.05,356.49,203.36,2.57,58004.45,325.97,122.93,328.31,37134.16,4.04,24.34,4.23,25.55,4.46,85.46,5.68
24VINIF_8_#1,14.3814,109.0228,South Central,Winter-Spring season,0.2,1498.46,396.15,7.47,26.06,0.51,0.08,44.53,1014.46,460.72,251.95,329.87,0.76,17339.82,122.32,124.59,132.22,12552.97,4.16,15.8,3.58,25.41,3.97,83.68,5.68
24VINIF_9_#1,14.2953,109.0739,South Central,Winter-Spring season,0.17,1525.45,402.19,14.65,22.43,1.44,0.02,30.73,930.74,523.35,783.55,192.96,1.24,42550.9,175.73,65.45,467.59,31683.42,3.94,16.85,2.77,25.39,3.24,82.14,5.87
24VINIF_10_#1,14.1969,109.0475,South Central,Winter-Spring season,0.16,1432.3,373.86,7.38,23.32,0.95,0.1,63.66,1273.42,495.07,241.41,267.79,0.87,27362.99,162.4,156.89,335.08,18320.85,4.68,18.34,2.58,25.64,3.02,82.41,5.58
24VINIF_11_#1,14.0792,109.0633,South Central,Winter-Spring season,0.13,1485.8,398.31,10.63,22.36,0.92,0.09,66.81,804.25,492.15,553.89,292.64,0.55,26187.48,122.67,132.83,181.17,8305.3,4.09,16.69,4.1,26.11,2.98,83.47,5.38
24VINIF_12_#1,13.5767,109.2478,South Central,Winter-Spring season,0.15,1593.04,434.78,5.79,24.05,1.82,0.06,26.78,782.97,934.34,58.36,107.69,0.25,2830.35,39.57,88.84,39.23,841.44,4.15,12.25,6.18,25.89,3.75,74.73,5.98
24VINIF_13_#1,13.4622,109.2117,South Central,Winter-Spring season,0.12,1614.96,420.73,8.08,23.44,0.37,0.08,38.54,1082.77,715.74,264.13,127.36,0.99,33907.6,111.53,387.5,141.58,7053.87,3.74,10.99,4.44,25.92,3.33,73.07,7.46
24VINIF_14_#1,13.3933,109.2042,South Central,Winter-Spring season,0.2,1675.5,395.35,5.89,23.58,,0.11,13.28,1581.43,523.33,84.42,85.95,1.0,30543.08,154.22,53.53,208.35,19501.36,4.25,17.12,2.01,25.66,3.04,70.31,7.86
24VINIF_15_#1,13.3542,109.2111,South Central,Winter-Spring season,0.11,1405.6,402.23,9.39,22.19,0.55,0.14,12.1,791.0,489.29,346.29,84.49,1.36,30042.85,125.3,40.44,272.06,18517.93,4.65,15.62,2.32,25.66,3.04,70.31,7.86
24VINIF_16_#1,13.0417,109.3144,South Central,Winter-Spring season,0.15,1382.71,448.19,9.71,24.03,0.61,0.1,69.61,710.51,579.21,331.71,185.93,2.0,39239.85,135.36,76.46,310.05,22094.93,3.83,13.09,3.77,26.25,3.37,76.84,8.8
24VINIF_17_#1,12.9033,109.3711,South Central,Winter-Spring season,0.09,1682.62,345.21,7.8,23.81,,0.04,43.02,762.06,330.92,143.62,207.66,1.84,66652.19,160.12,266.9,232.45,12485.49,3.74,11.27,5.31,25.36,4.39,86.25,6.09
24VINIF_18_#1,12.6294,109.1831,South Central,Winter-Spring season,0.2,1604.71,434.84,10.2,23.35,0.3,1.13,45.36,1512.15,641.03,287.35,217.56,4.33,18226.83,89.97,98.23,87.27,11315.35,3.96,10.17,2.25,25.31,3.65,82.21,5.09
24VINIF_19_#1,12.5719,109.1728,South Central,Winter-Spring season,0.19,1612.83,478.89,9.05,25.74,0.41,0.76,38.8,2521.35,738.64,339.65,250.28,1.89,12459.34,95.71,46.48,51.82,7493.28,3.72,15.93,2.54,26.23,3.48,81.08,4.67
24VINIF_20_#1,12.4397,109.1139,South Central,Winter-Spring season,0.25,1635.46,445.54,9.12,24.02,0.68,5.92,46.05,899.24,806.31,347.76,230.21,7.85,36431.48,93.81,114.41,373.69,14835.91,4.07,21.02,2.73,25.34,4.31,81.48,6.5
24VINIF_21_#1,12.2897,109.1569,South Central,Winter-Spring season,0.25,1405.06,438.19,7.31,27.5,0.95,2.52,65.47,1050.82,826.43,303.7,100.75,14.21,56962.72,197.84,153.62,301.05,27012.81,4.54,28.35,6.26,24.86,5.19,81.78,9.32
24VINIF_22_#1,12.2014,109.0706,South Central,Winter-Spring season,0.22,1591.9,383.75,10.75,21.36,1.1,1.98,39.66,1039.78,537.47,350.61,141.54,5.12,48477.9,99.99,102.39,270.62,14147.81,4.29,11.59,2.58,24.86,5.19,81.78,9.32
24VINIF_23_#1,12.1058,109.1217,South Central,Winter-Spring season,0.2,1715.79,431.22,12.14,22.92,1.87,2.19,32.48,1178.7,615.38,424.68,138.42,2.45,24432.68,182.91,128.94,180.4,7697.2,3.82,15.14,3.86,24.51,4.41,81.79,9.34
24VINIF_25_#1,11.6667,109.0244,South Central,Winter-Spring season,0.28,1777.18,492.92,10.05,26.93,1.47,2.78,89.72,990.73,1030.59,270.18,133.21,2.44,16771.96,76.45,159.0,182.15,7506.12,4.86,15.39,4.81,26.82,4.7,65.23,8.58
24VINIF_26_#1,11.6258,108.9911,South Central,Winter-Spring season,0.36,1674.22,440.74,7.57,22.6,1.27,3.79,61.59,1005.59,702.7,68.12,135.27,1.86,17438.7,86.97,160.86,100.84,6528.16,4.34,14.74,5.57,26.82,4.7,65.23,8.58
24VINIF_27_#1,11.5403,108.9403,South Central,Winter-Spring season,0.23,1733.69,497.67,7.82,22.23,2.12,2.23,65.94,1681.76,1094.82,307.98,125.15,2.19,18525.93,121.0,179.08,165.34,7986.79,4.05,13.53,3.58,26.77,4.75,65.49,8.52
24VINIF_28_#1,11.4878,108.9081,South Central,Winter-Spring season,0.22,923.57,473.03,6.35,24.16,0.24,1.32,134.73,294.08,569.73,194.35,250.83,2.7,19934.02,82.55,65.01,230.93,10366.08,4.84,13.34,1.89,26.45,4.57,64.88,9.77
24VINIF_29_#1,11.0008,108.1181,South Central,Winter-Spring season,0.45,1418.98,495.18,6.96,21.9,,5.08,115.62,583.88,1047.93,117.68,120.04,3.5,12107.8,56.98,83.91,103.48,5252.13,4.82,34.6,2.54,26.76,4.57,67.51,7.76
24VINIF_30_#1,11.09,108.1317,South Central,Winter-Spring season,0.32,1997.22,441.37,11.09,22.8,0.45,8.1,119.13,1777.04,787.56,218.53,172.45,10.29,21737.78,194.9,62.38,259.2,15835.87,4.71,16.92,2.41,26.76,4.57,67.51,7.76
24VINIF_31_#1,18.1858,106.2606,North Central ,Summer-Autumn season,0.29,1989.75,404.05,13.21,55.51,1.51,1.67,90.89,1270.89,676.08,278.98,735.47,2.97,14374.79,170.09,139.71,68.14,5156.71,3.73,0.59,10.14,25.12,3.92,71.57,5.33
24VINIF_32_#1,18.2219,106.1664,North Central ,Summer-Autumn season,0.32,1872.03,277.91,19.44,61.84,3.02,1.36,125.26,509.08,168.25,473.24,418.32,3.83,20653.6,89.89,96.31,208.09,9784.73,3.74,7.54,6.4,24.98,4.32,73.99,4.49
24VINIF_33_#1,18.4423,105.7937,North Central ,Summer-Autumn season,0.27,2260.57,329.22,13.63,23.15,2.03,1.49,144.75,1167.62,395.36,416.65,277.87,9.86,29609.42,275.33,186.65,108.63,17125.17,4.45,14.87,6.92,24.85,4.39,76.7,4.33
24VINIF_34_#1,17.6097,106.5265,North Central ,Summer-Autumn season,0.34,1825.81,266.28,11.15,27.45,0.63,0.74,252.45,522.23,240.56,334.75,367.61,2.89,24229.81,114.28,121.84,53.97,9912.38,3.76,9.22,4.63,24.78,4.16,75.49,5.05
24VINIF_35_#1,17.0402,107.0308,North Central ,Summer-Autumn season,0.13,1965.0,347.56,13.65,5.42,3.02,0.59,117.75,882.0,529.66,370.38,422.99,6.13,44096.51,272.12,298.33,92.52,25875.96,3.59,5.69,9.31,25.57,4.42,71.08,5.73
24VINIF_36_#1,16.9981,107.0538,North Central ,Summer-Autumn season,0.18,2379.89,333.69,21.35,18.23,1.44,0.38,92.82,906.32,130.94,379.74,190.85,3.99,31337.62,144.39,154.19,94.35,13575.54,4.09,16.4,6.29,25.47,4.32,70.78,6.09
24VINIF_37_#1,16.8179,107.1254,North Central ,Summer-Autumn season,0.25,2237.74,353.36,13.45,15.13,1.33,2.44,131.52,1386.31,267.22,228.93,478.03,8.15,50878.63,297.0,273.36,90.68,23317.28,3.78,21.92,8.63,25.68,4.4,70.38,5.43
24VINIF_38_#1,16.7379,107.203,North Central ,Summer-Autumn season,0.27,2245.0,341.7,18.93,13.37,2.45,1.41,135.02,1070.82,253.55,328.59,337.02,3.12,29653.39,207.03,276.87,103.54,10206.56,3.79,5.45,8.58,26.14,4.7,71.48,5.46
24VINIF_39_#1,16.337874,107.76263,North Central ,Summer-Autumn season,0.14,1785.37,324.01,7.86,13.05,1.83,0.94,62.17,954.67,475.37,276.66,262.59,4.52,46590.49,202.97,678.11,114.9,11933.12,4.11,8.44,13.62,25.83,5.69,79.15,5.08
24VINIF_40_#1,16.269312,107.87677,North Central ,Summer-Autumn season,0.12,1842.17,350.2,28.45,15.15,2.72,1.03,110.17,832.4,593.87,1197.5,432.65,7.31,61506.32,366.95,366.36,201.03,24110.06,3.81,8.35,8.16,25.16,6.78,83.38,4.73
24VINIF_41_#1,15.91104,108.25679,South Central,Summer-Autumn season,0.19,1932.05,311.16,22.03,14.04,3.51,2.16,114.98,761.44,424.2,908.13,204.75,11.98,69734.1,288.61,245.42,278.71,31497.49,4.27,19.39,8.58,26.1,5.19,76.08,4.66
24VINIF_42_#1,15.888881,108.166693,South Central,Summer-Autumn season,0.15,1844.47,302.85,15.09,12.75,2.47,2.19,115.05,506.23,160.02,416.06,356.92,11.78,73314.07,202.76,642.57,223.51,29392.41,3.91,6.75,8.84,25.91,5.0,74.88,4.58
24VINIF_43_#1,15.796422,108.3195,South Central,Summer-Autumn season,0.19,2177.69,259.9,24.76,30.09,2.47,0.48,41.95,848.07,243.73,638.2,161.14,0.81,14339.38,138.47,373.21,116.7,5582.78,3.97,7.84,2.86,25.8,4.75,73.61,4.67
24VINIF_44_#1,15.741518,108.36715,South Central,Summer-Autumn season,0.21,1657.74,238.25,18.09,28.51,1.89,0.26,46.57,1072.26,230.06,560.87,142.87,0.75,17993.53,93.69,295.79,70.77,6076.28,4.0,18.05,5.3,25.8,4.75,73.61,4.67
24VINIF_45_#1,15.649022,108.41647,South Central,Summer-Autumn season,0.25,1416.07,248.89,26.9,27.02,2.5,1.67,42.71,303.44,314.45,897.89,178.98,2.28,16125.89,34.66,399.8,273.59,10308.36,4.06,8.09,2.81,26.05,4.7,74.59,4.72
24VINIF_46_#1,15.618908,108.48202,South Central,Summer-Autumn season,0.11,1892.35,254.41,24.43,14.21,2.86,0.43,52.66,798.17,559.61,972.56,63.97,2.38,19814.82,80.12,546.36,71.67,8286.98,4.57,10.04,4.68,26.05,4.7,74.59,4.72
24VINIF_47_#1,16.55109,107.61759,North Central ,Summer-Autumn season,0.22,2411.33,323.11,21.09,27.56,3.33,1.11,44.11,817.32,475.64,537.99,171.64,12.64,41264.2,253.19,672.84,223.94,26781.33,3.79,8.37,8.58,25.46,6.32,78.85,5.31
24VINIF_48_#1,16.69009,107.39898,North Central ,Summer-Autumn season,0.09,1937.44,315.79,22.79,10.69,1.96,0.23,66.12,886.05,307.05,555.2,97.97,0.87,9309.28,115.76,538.05,25.73,2055.18,4.31,8.14,9.78,25.78,5.63,75.05,5.06
24VINIF_49_#1,17.02845,107.03518,North Central ,Summer-Autumn season,0.14,1998.35,317.19,12.39,10.17,1.25,1.4,201.02,874.03,386.96,269.7,917.45,8.02,40030.26,217.5,656.53,71.19,28875.39,3.71,7.77,4.42,25.57,4.42,71.08,5.73
24VINIF_50_#1,17.55809,106.54263,North Central ,Summer-Autumn season,0.08,1850.15,260.14,15.63,13.53,0.58,0.34,125.17,851.84,260.87,406.45,341.03,4.03,48252.77,270.11,513.36,132.91,20892.86,3.87,11.2,5.88,24.59,4.21,74.69,6.26
24VINIF_53_#1,19.158712,105.63965,North Central ,Summer-Autumn season,0.27,1825.3,229.18,19.14,18.74,1.29,0.85,79.73,881.82,268.05,719.41,101.1,7.51,34105.79,238.63,461.78,692.34,19482.5,4.48,10.15,6.45,24.3,3.78,80.22,5.89
